date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-03,19.0,-104.5,1,55.704212,492.07385,55.704212
2024-06-03,19.0,-97.0,1,69.43217,464.16602,69.43217
2024-06-03,19.0,-89.5,3,232.55421,662.6522,99.83851
2024-06-03,19.0,-89.0,2,92.75365,940.74164,49.66505
2024-06-03,19.5,-103.5,1,99.18291,520.9706,99.18291
2024-06-03,19.5,-98.0,2,164.64859,515.6417,100.838875
2024-06-03,19.5,-97.5,2,87.34306,471.69235,46.49935
2024-06-03,19.5,-97.0,3,307.1032,779.5025,112.57804
2024-06-03,19.5,-96.5,1,251.7791,,251.7791
2024-06-03,19.5,-90.5,2,162.41382,572.22644,82.3977
2024-06-03,19.5,-89.0,2,142.86789,494.4911,83.32923
2024-06-03,20.0,-98.0,2,108.56166,,56.663048
2024-06-03,20.0,-89.5,2,153.53549,495.31512,78.25976
2024-06-03,20.0,-88.5,4,272.59735,507.34625,83.89606
2024-06-03,20.5,-98.5,1,77.08115,514.3782,77.08115
2024-06-03,20.5,-90.5,5,607.16376,1578.3916,243.9983
2024-06-03,20.5,-89.0,1,47.38345,478.99893,47.38345
2024-06-03,20.5,-88.0,3,373.17798,691.49396,174.14058
2024-06-03,20.5,-87.5,1,30.335835,496.52374,30.335835
2024-06-03,21.0,-105.0,1,77.87189,416.15137,77.87189
2024-06-03,21.0,-88.5,1,55.41448,568.16113,55.41448
2024-06-03,21.0,-88.0,2,119.91806,450.70654,67.20862
2024-06-03,21.0,-87.5,2,135.40419,584.42236,74.26508
2024-06-03,22.5,-104.0,1,60.495537,644.13855,60.495537
2024-06-03,23.5,-106.5,2,137.82677,472.3516,73.23979
2024-06-03,24.0,-78.0,3,349.63782,672.0464,185.13535
2024-06-03,26.5,-107.0,2,204.84877,,103.201096
2024-06-03,28.5,-108.5,1,62.578377,449.22327,62.578377
2024-06-03,31.0,-84.5,1,68.21644,460.86984,68.21644
2024-06-03,33.5,-112.0,1,139.55289,729.72986,139.55289
2024-06-03,34.0,-79.0,1,28.873808,425.54556,28.873808
2024-06-03,36.0,-77.0,1,208.58965,550.63635,208.58965
2024-06-03,50.0,-80.0,2,690.9834,,365.54108
2024-06-04,14.5,-85.5,1,59.050964,627.49274,59.050964
2024-06-04,15.5,-90.0,1,52.835052,818.2329,52.835052
2024-06-04,15.5,-89.5,3,165.85593,608.4847,60.01196
2024-06-04,16.0,-98.5,1,23.069147,721.43445,23.069147
2024-06-04,16.0,-96.5,2,927.6732,,543.5991
2024-06-04,16.0,-89.5,3,164.52423,528.77155,88.613655
2024-06-04,16.5,-99.0,1,33.533176,527.45306,33.533176
2024-06-04,16.5,-94.0,1,51.02826,464.33084,51.02826
2024-06-04,16.5,-93.5,1,25.75293,454.71692,25.75293
2024-06-04,16.5,-91.0,6,712.9315,766.2628,219.42555
2024-06-04,16.5,-90.5,2,105.02757,828.561,73.945404
2024-06-04,16.5,-90.0,2,84.45915,437.7415,49.5001
2024-06-04,16.5,-89.5,3,149.24503,1108.3534,78.20525
2024-06-04,17.0,-96.0,1,35.936676,639.3591,35.936676
2024-06-04,17.0,-93.0,1,49.69355,462.73767,49.69355
2024-06-04,17.0,-92.0,4,1080.9353,912.88873,331.76337
2024-06-04,17.0,-91.5,1,29.729456,479.54828,29.729456
2024-06-04,17.0,-91.0,8,1176.7552,800.70807,551.4897
2024-06-04,17.0,-90.5,8,945.6697,1417.3173,278.40924
2024-06-04,17.0,-90.0,1,67.58967,599.91455,67.58967
2024-06-04,17.0,-89.5,1,47.37257,619.5269,47.37257
