time,lat,lon,Mask,Temp,Power,Area
2018-06-02T19:58:47,25.7834,-107.2975,10,421.3154,45.6819,0.1225
2018-06-02T19:58:47,25.7614,-107.2894,10,448.8387,45.4126,0.0697
2018-06-02T19:58:47,25.3692,-98.0714,10,421.3154,17.5220,0.0467
2018-06-02T19:58:47,25.4938,-107.6371,10,480.6470,48.2427,0.0424
2018-06-02T19:58:47,25.3139,-107.4661,10,559.3163,56.0115,0.0166
2018-06-02T19:58:47,25.2909,-107.4315,10,540.0336,48.0486,0.0180
2018-06-02T19:58:47,25.2690,-107.4236,10,521.0255,47.4547,0.0228
2018-06-02T19:58:47,25.2482,-107.4422,10,403.6808,55.9412,0.2238
2018-06-02T19:58:47,25.2263,-107.4342,10,418.8982,58.3253,0.1642
2018-06-02T19:58:47,25.2055,-107.4528,10,777.3051,126.6901,0.0058
2018-06-02T19:58:47,24.8697,-107.1243,10,422.8537,46.6099,0.1207
2018-06-02T19:58:47,24.7628,-104.2988,13,,146.4141,
2018-06-02T19:58:47,24.7652,-104.9479,100,,16.6817,0.0040
2018-06-02T19:58:47,24.7421,-104.3172,10,1545.9789,558.4799,0.0040
2018-06-02T19:58:47,24.7412,-104.2921,10,790.6547,1060.7396,0.0448
2018-06-02T19:58:47,24.7205,-104.3104,13,,407.4993,
2018-06-02T19:58:47,24.7196,-104.2854,13,,766.5401,
2018-06-02T19:58:47,24.7671,-107.2439,10,417.9643,48.1582,0.1389
2018-06-02T19:58:47,24.6326,-104.8306,100,,10.4847,0.0040
2018-06-02T19:58:47,24.6381,-106.6823,10,582.6644,58.2320,0.0131
2018-06-02T19:58:47,24.6224,-106.8313,10,448.3443,32.6295,0.0505
2018-06-02T19:58:47,24.6214,-106.8052,10,499.9847,46.0144,0.0299
2018-06-02T19:58:47,24.5963,-107.2618,10,410.2732,58.6155,0.2007
2018-06-02T19:58:47,24.4232,-104.9392,215,,6.6811,0.0040
2018-06-02T19:58:47,24.3340,-105.4120,100,,5.2523,0.0040
2018-06-02T19:58:47,24.2816,-105.7227,100,,16.1446,0.0040
2018-06-02T19:58:47,24.2731,-105.4931,100,,6.7244,0.0040
2018-06-02T19:58:47,24.2685,-107.0707,10,405.6035,64.6221,0.2461
2018-06-02T19:58:47,24.2479,-107.0894,10,403.5160,67.5069,0.2697
2018-06-02T19:58:47,24.1945,-105.6693,100,,13.0294,0.0040
2018-06-02T19:58:47,24.2313,-107.2129,14,,64.1930,
2018-06-02T19:58:47,24.0714,-106.3639,10,443.9493,41.3779,0.0694
2018-06-02T19:58:47,23.6758,-104.8074,10,494.5460,123.5415,0.0874
2018-06-02T19:58:47,23.6750,-104.7824,10,447.7400,77.8994,0.1221
2018-06-02T19:58:47,23.6545,-104.8009,10,522.6187,265.9088,0.1253
2018-06-02T19:58:47,23.6536,-104.7759,10,630.4594,158.8548,0.0222
2018-06-02T19:58:47,23.5585,-106.2479,10,436.3131,28.8014,0.0562
2018-06-02T19:58:47,23.2974,-98.8692,10,423.1283,37.2876,0.0949
2018-06-02T19:58:47,23.2568,-101.0324,10,401.0438,49.8833,0.2140
2018-06-02T19:58:47,23.3684,-105.0613,10,498.5015,106.7140,0.0711
2018-06-02T19:58:47,23.3471,-105.0549,10,404.0104,73.3498,0.2929
2018-06-02T19:58:47,23.2629,-105.0543,10,446.3665,85.5550,0.1377
2018-06-02T19:58:47,23.2075,-104.0544,10,764.5048,46.6823,0.0040
2018-06-02T19:58:47,23.1439,-104.0361,14,,101.7709,
2018-06-02T19:58:47,23.0364,-101.3520,100,,7.0260,0.0040
2018-06-02T19:58:47,22.9510,-98.4279,10,426.0400,94.5501,0.2243
2018-06-02T19:58:47,23.1460,-105.9162,14,,68.7199,
2018-06-02T19:58:47,23.0083,-102.4563,100,,11.6969,0.0040
2018-06-02T19:58:47,22.8322,-105.3467,10,402.6370,51.2973,0.2094
